Etnias
Karapotó
Karaxuwanassu
Karijó
Karipuna de Rondônia
Karipuna do Amapá
Kariri
Kariri-Quixelô
Kariri-Sapuyá
Kariri-Xocó
Karitiana
Kariú-Kariri
Karuazu
Kassupá
Katawixí
Katrimbó
Katukina do Rio Biá (Pedá Djapá)
Katwena
Katxuyana
Kaxagós
Kaxarari
Kaxinawá
Kaxixó
Kararao
Kayapó
Mebêngôkre Kayapó
Menkrangnoti
Mentuktire
Xikrin
Kinikinau
Kiriri
Kisêdjê
Kixará-Tapuia
Koiupanká
Kokama
Korubo
Krahô
Krahô-Kanela
Kreepyn-Katejê
Krenák
Krenyê
Krikati
Kubeo
Kuiawi
Kuikuro
Kujubim
Kulina Madijá
Kulina Pano
Kumanagoto
Kumaruara
Kuntanawa
Kuripako
Kuruáya
Kwazá
Lanawa
Makúna
Makuráp
Makuxí
Mamuri
Manao
Manchineri
Maraguá
Marúbo
Mastanawa
Matapi
Matipú
Matís
Mawayána
Maxakali
Maya
Matsés
Mayoruna
Mayoruna do Marajaí
Maytapu
Mehináku
Menkü (Myky Manoki)
Miránha
Mirititapuia
Mortigura
Mucurim
Muisca
Munduruku
Munduruku Carapreta
Múra
Mura Pirahã
Pirahã
Nadëb
Nahukuá
Nambikwára
Alantesú
Hahaintesu
Halotesu
Idalamare
Kithaulu
Latundê
Mamaindê
Manduka
Negarotê
Sabanê
Sawentesu
Tawandê
Waikisu
Wakalitesu
Wasusu
Nawa
Noke Koi (Katukina pano)
Nukiní
Ofayé
Okoimoyána
Otavalenho
Cao Oro Waje
Oro At
Oro Eo
Oro Jowin
Oro Mon
Oro Náo
Oro Waram
Oro Waram Xijein
Oro Win
Pakaa Nova (Wari')
Palikur
Panará
Pankaiuká
Pankará
Pankararé
Pankararú
Pankariri
Pankaru
Papavó
Parakanã
Paresí
Parintintim
Patamóna
Pataxó
Pataxó Hã-Hã-Hãe
Paumarí
Payayá
Kambiwá-Pipipã
Pipipã
Piratapuia (Waikhana)
Pïrëuyana
Piripkura
Pitaguari
Potiguara
Povo do Xinane
Poyanáwa
Puri
Puroborá
Rikbaktsa
Sakurabiat
Salamãy
Sapará
Sateré-Mawé
Shanenáwa
Sikiyana
Siriano (Siriãmahsã)
Suruí de Rondônia (Paiter Suruí)
Tabajara
Tamoio
Tanimuka
Tapajós
Tapayuna
Tapeba
Tapirapé
Tapiuns
Tapuia
Tapuia-Tarairiús
Tapuio
Tapuya-Kariri
Tariana
Taurepang
Guajajara
Tembé
Tenetehára
Tenharim
Terena
Tikúna
Timbira
Tingui Botó
Tiriyó
Torá
Tremembé
Truká
Trumái
Tsohom Djapá
Tubiba-Tapuia
Tukano
Tumbalalá
Tunayana
Tupaiu
Tupari
Tupinambá
Tupinambarana
Tupiniquim
Turiwára
Tuxá
Tuxi
Tuyúca
Umutina
Uru-Eu-Wau-Wau
Uru-Pa-In
Wai Wai
Waimiri Atroari
Wajãpi
Wanano
Wapixana
Warekena
Wassú
Waura
Wayana
Wayuu
Witóto
Xacriabá
Xambioá
Xavante
Xerente
Xereu
Xetá
Xipáya
Xocó
Xokléng
Xukuru
Xukuru-Kariri
Yaipiyana
Yamináwa
Yanomami
Ninám
Sanumá
Xiriana
Xirixana
Yanomami/Yanomán
Yawalapití
Yawanawá
Ye'kwana
Ymboré
Yucuna
Yudjá
Yuhupdëh
Yuruti
Zo'é
Zoró
Aimara
Eñepá
Mapuche
Quechua
Quíchua
Tatuyo
Warao
Yagua
Outros
